FBtr0078778 FBgn0037301
C24G6.3.1 WBGene00016060
ENSPMAT00000005339 ENSPMAG00000004861
ENSEBUT00000003924 ENSEBUG00000002573
ENSCHAT00000040353 ENSCHAG00000017534
ENSCHAT00000040395 ENSCHAG00000017534
ENSCHAT00000040423 ENSCHAG00000017534
ENSCHAT00000040449 ENSCHAG00000017534
ENSCHAT00000040464 ENSCHAG00000017534
ENSDCDT00000008094 ENSDCDG00000003622
ENSDCDT00000008173 ENSDCDG00000003622
ENSEEET00000006849 ENSEEEG00000003561
ENSEEET00000006857 ENSEEEG00000003561
ENSEEET00000006858 ENSEEEG00000003561
ENSEEET00000006859 ENSEEEG00000003561
ENSEEET00000006861 ENSEEEG00000003561
ENSEEET00000006863 ENSEEEG00000003561
ENSIPUT00000021551 ENSIPUG00000014011
ENSAMXT00000003146 ENSAMXG00000003029
