ENSMMUT00000085814 ENSMMUG00000060987
ENSMMUT00000081873 ENSMMUG00000054838
ENSMMUT00000104504 ENSMMUG00000064242
ENSMMUT00000082838 ENSMMUG00000059758
ENSMMUT00000097981 ENSMMUG00000058979
ENSMMUT00000096080 ENSMMUG00000061267
ENSMMUT00000097314 ENSMMUG00000053162
ENSMMUT00000085503 ENSMMUG00000049787
ENSMMUT00000106521 ENSMMUG00000049739
ENSMMUT00000099455 ENSMMUG00000055955
ENSMMUT00000090083 ENSMMUG00000057790
ENSMMUT00000085924 ENSMMUG00000064799
ENSPTET00000031846 ENSPTEG00000023103
ENSMMUT00000104615 ENSMMUG00000054977
ENSMMUT00000096264 ENSMMUG00000064844
ENSMMUT00000087311 ENSMMUG00000051143
ENSMMUT00000104339 ENSMMUG00000058336
ENSTGET00000001522 ENSTGEG00000001130
ENSMMUT00000079677 ENSMMUG00000056321
ENSMMUT00000107182 ENSMMUG00000058088
ENSMMUT00000095622 ENSMMUG00000051057
ENSMMUT00000092916 ENSMMUG00000057658
ENSPTET00000031238 ENSPTEG00000022685
ENSMMUT00000098666 ENSMMUG00000051505
ENSTGET00000020982 ENSTGEG00000014220
ENSMMUT00000079342 ENSMMUG00000065061
ENSPTET00000040201 ENSPTEG00000028390
ENSMMUT00000085231 ENSMMUG00000064499
ENSMMUT00000087023 ENSMMUG00000050620
ENSPTET00000023785 ENSPTEG00000017633
ENSTGET00000042173 ENSTGEG00000028291
ENSMMUT00000101544 ENSMMUG00000058177
ENSMMUT00000088036 ENSMMUG00000053989
ENSTGET00000009623 ENSTGEG00000006548
ENSMMUT00000085187 ENSMMUG00000053481
ENSMMUT00000099893 ENSMMUG00000064764
ENSMMUT00000107690 ENSMMUG00000056299
ENSPTET00000032173 ENSPTEG00000023323
ENSMMUT00000084835 ENSMMUG00000049285
