ENSEBUT00000008943 ENSEBUG00000005443
ENSXMAT00000002575 ENSXMAG00000002552
ENSXCOT00000015314 ENSXCOG00000011454
ENSGAFT00000005284 ENSGAFG00000003498
ENSPFOT00000015168 ENSPFOG00000014991
ENSPMET00000019275 ENSPMEG00000014219
ENSPMET00000031617 ENSPMEG00000014219
ENSPLAT00000009178 ENSPLAG00000006511
ENSPRET00000013683 ENSPREG00000009187
ENSCVAT00000012833 ENSCVAG00000002811
ENSCVAT00000012850 ENSCVAG00000002811
ENSKMAT00000016780 ENSKMAG00000012309
ENSGWIT00000052308 ENSGWIG00000023718
ENSGWIT00000052311 ENSGWIG00000023718
ENSGWIT00000052313 ENSGWIG00000023718
ENSGWIT00000052314 ENSGWIG00000023718
ENSCSET00000001568 ENSCSEG00000001034
