ENSLACT00000021687 ENSLACG00000018934
ENSXETT00000027299 ENSXETG00000012946
ENSXETT00000027302 ENSXETG00000012946
ENSXETT00000027310 ENSXETG00000012946
ENSXETT00000027319 ENSXETG00000012946
ENSXETT00000027322 ENSXETG00000012946
ENSPKIT00000017129 ENSPKIG00000014833
ENSPKIT00000017179 ENSPKIG00000014833
ENSSFOT00015013304 ENSSFOG00015008378
ENSSFOT00015007029 ENSSFOG00015004326
ENSSFOT00015007058 ENSSFOG00015004326
ENSPKIT00000010565 ENSPKIG00000010883
ENSCHAT00000005883 ENSCHAG00000002295
ENSCHAT00000005966 ENSCHAG00000002295
ENSCHAT00000006024 ENSCHAG00000002295
ENSCHAT00000006085 ENSCHAG00000002295
ENSCHAT00000006249 ENSCHAG00000002295
ENSCHAT00000006269 ENSCHAG00000002295
ENSCHAT00000006375 ENSCHAG00000002295
ENSCHAT00000006465 ENSCHAG00000002295
ENSCHAT00000006497 ENSCHAG00000002295
ENSDCDT00000041824 ENSDCDG00000022141
ENSDCDT00000041897 ENSDCDG00000022141
