ENSPMAT00000010861 ENSPMAG00000009841
ENSEBUT00000005428 ENSEBUG00000003437
ENSSPAT00000013231 ENSSPAG00000009864
ENSSPAT00000013244 ENSSPAG00000009864
ENSXCOT00000003330 ENSXCOG00000002595
ENSLCRT00005036498 ENSLCRG00005013972
ENSLCRT00005036507 ENSLCRG00005013972
ENSPMGT00000007134 ENSPMGG00000005609
ENSPMJT00000011464 ENSPMJG00000006846
ENSPMJT00000011467 ENSPMJG00000006846
ENSPMJT00000011468 ENSPMJG00000006846
ENSCCET00000023154 ENSCCEG00000014170
ENSCCET00000023157 ENSCCEG00000014170
ENSJHYT00000018494 ENSJHYG00000011784
ENSJHYT00000018495 ENSJHYG00000011784
ENSZALT00000030113 ENSZALG00000017971
ENSZALT00000030114 ENSZALG00000017971
