ENSGGOT00000046065 ENSGGOG00000038374
ENST00000641918 ENSG00000284725
ENSPTRT00000095061 ENSPTRG00000048251
ENSPPAT00000022428 ENSPPAG00000020469
ENSNLET00000037590 ENSNLEG00000027327
ENSMFAT00000021304 ENSMFAG00000001133
ENSPANT00000052620 ENSPANG00000033490
ENSMLET00000043525 ENSMLEG00000034241
ENSCATT00000024946 ENSCATG00000021585
ENSRROT00000054624 ENSRROG00000038866
ENSCJAT00000074036 ENSCJAG00000042011
ENSCCAT00000037365 ENSCCAG00000027780
ENSANAT00000042114 ENSANAG00000029834
ENSTSYT00000040876 ENSTSYG00000036505
ENSPSMT00000026552 ENSPSMG00000016193
