ENSSCAT00000001028 ENSSCAG00000000759
ENSSCAT00000003141 ENSSCAG00000002312
ENSSCAT00000000504 ENSSCAG00000000392
ENSSCAT00000001557 ENSSCAG00000001143
ENSSCAT00000000924 ENSSCAG00000000695
ENSSCAT00000000776 ENSSCAG00000000591
ENSSCAT00000001676 ENSSCAG00000001221
ENSSCAT00000000792 ENSSCAG00000000602
ENSSCAT00000002876 ENSSCAG00000002113
ENSSCAT00000000628 ENSSCAG00000000485
ENSSCAT00000002553 ENSSCAG00000001880
ENSSCAT00000001589 ENSSCAG00000001166
ENSSCAT00000003482 ENSSCAG00000002562
ENSSCAT00000000801 ENSSCAG00000000611
ENSSCAT00000002870 ENSSCAG00000002110
ENSSCAT00000001680 ENSSCAG00000001226
ENSSCAT00000001546 ENSSCAG00000001137
ENSSCAT00000002819 ENSSCAG00000002071
ENSSCAT00000003486 ENSSCAG00000002565
ENSSCAT00000012387 ENSSCAG00000008260
