ENSMMUT00000084872 ENSMMUG00000056700
ENSCJAT00000114434 ENSCJAG00000059014
ENSMMUT00000102994 ENSMMUG00000064180
ENSPTRT00000093465 ENSPTRG00000048228
ENSPPAT00000053155 ENSPPAG00000038141
ENSMLET00000047473 ENSMLEG00000036150
ENSPANT00000046826 ENSPANG00000032092
ENSCATT00000023910 ENSCATG00000020736
ENSCJAT00000099406 ENSCJAG00000053189
ENSTGET00000031882 ENSTGEG00000021574
ENSMMUT00000031437 ENSMMUG00000022345
ENSMMUT00000100254 ENSMMUG00000061812
ENSMMUT00000102534 ENSMMUG00000065193
ENSPPYT00000011341 ENSPPYG00000009745
ENSCJAT00000105816 ENSCJAG00000068766
ENSMMUT00000093219 ENSMMUG00000061475
ENSPTET00000052686 ENSPTEG00000036279
ENSMMUT00000098894 ENSMMUG00000061607
ENSCJAT00000112113 ENSCJAG00000054121
ENSCJAT00000116204 ENSCJAG00000057210
ENSTGET00000011043 ENSTGEG00000007538
ENSMMUT00000102125 ENSMMUG00000051999
ENSMMUT00000089525 ENSMMUG00000064066
ENSPTET00000036352 ENSPTEG00000025971
ENSMMUT00000101724 ENSMMUG00000056165
ENSMMUT00000098289 ENSMMUG00000061159
ENSMMUT00000086658 ENSMMUG00000062165
ENSCJAT00000102086 ENSCJAG00000063001
ENSMMUT00000103547 ENSMMUG00000051196
ENSMMUT00000095050 ENSMMUG00000063541
ENSMMUT00000093836 ENSMMUG00000063765
ENSMMUT00000088859 ENSMMUG00000057296
ENSMMUT00000105878 ENSMMUG00000053591
ENSMMUT00000092846 ENSMMUG00000053006
ENSMMUT00000100545 ENSMMUG00000057419
ENSMMUT00000085479 ENSMMUG00000054082
ENSMMUT00000081271 ENSMMUG00000062600
ENSMMUT00000092349 ENSMMUG00000058374
ENSMMUT00000105840 ENSMMUG00000056913
ENSCJAT00000091264 ENSCJAG00000067374
ENSMMUT00000102586 ENSMMUG00000060402
ENSPPAT00000053045 ENSPPAG00000038096
ENSRROT00000052187 ENSRROG00000037717
