>ENSARWT00000030846	ENSARWG00000018423
>ENSAOWT00000019254	ENSAOWG00000011585
>ENSAOWT00000019257	ENSAOWG00000011585
>ENSAOWT00000019262	ENSAOWG00000011585
>ENSAHAT00000029768	ENSAHAG00000018826
>ENSAHAT00000029770	ENSAHAG00000018826
>ENSAHAT00000029772	ENSAHAG00000018826
>ENSAHAT00000029775	ENSAHAG00000018826
>ENSDNVT00000006906	ENSDNVG00000004113
>ENSDNVT00000006919	ENSDNVG00000004113
>ENSDNVT00000006933	ENSDNVG00000004113
>ENSDNVT00000006945	ENSDNVG00000004113
>ENSDNVT00000006953	ENSDNVG00000004113
>ENSDNVT00000006967	ENSDNVG00000004113
