ENSPKIT00000042159 ENSPKIG00000003466
ENSSFOT00015025668 ENSSFOG00015016315
ENSDCDT00000057111 ENSDCDG00000028802
ENSDCDT00000057120 ENSDCDG00000028802
ENSDCDT00000057151 ENSDCDG00000028802
ENSDCDT00000057235 ENSDCDG00000028802
ENSDCDT00000057240 ENSDCDG00000028802
ENSCHAT00000064876 ENSCHAG00000026932
ENSCHAT00000064890 ENSCHAG00000026932
ENSCHAT00000064918 ENSCHAG00000026932
ENSIPUT00000029873 ENSIPUG00000019430
ENSEEET00000046798 ENSEEEG00000021752
ENSEEET00000046831 ENSEEEG00000021752
ENSEEET00000046868 ENSEEEG00000021752
ENSEEET00000046869 ENSEEEG00000021752
