>ENSPMET00000022587	ENSPMEG00000016974
>ENSPFOT00000020279	ENSPFOG00000020129
>ENSPLAT00000029634	ENSPLAG00000015979
>ENSPRET00000029444	ENSPREG00000019707
>ENSXMAT00000019539	ENSXMAG00000019464
>ENSXCOT00000010154	ENSXCOG00000007509
>ENSFHET00000007748	ENSFHEG00000006023
>ENSCVAT00000002920	ENSCVAG00000009335
>ENSGWIT00000050383	ENSGWIG00000022974
>ENSTNIT00000018298	ENSTNIG00000015023
>ENSTRUT00000028390	ENSTRUG00000011200
>ENSMMOT00000015209	ENSMMOG00000011428
>ENSLBET00000011596	ENSLBEG00000008500
