>ENSPRET00000006161	ENSPREG00000004201
>ENSPLAT00000028566	ENSPLAG00000000684
>ENSGAFT00000009694	ENSGAFG00000006512
>ENSGAFT00000009711	ENSGAFG00000006512
>ENSGAFT00000009723	ENSGAFG00000006512
>ENSGAFT00000009735	ENSGAFG00000006512
>ENSGAFT00000009750	ENSGAFG00000006512
>ENSGAFT00000009788	ENSGAFG00000006512
>ENSAPOT00000033997	ENSAPOG00000020525
>ENSMMOT00000017791	ENSMMOG00000000653
>ENSMMOT00000018145	ENSMMOG00000000653
>ENSMMOT00000018221	ENSMMOG00000000653
>ENSMMOT00000018244	ENSMMOG00000000653
>ENSMMOT00000018545	ENSMMOG00000000653
>ENSMMOT00000018562	ENSMMOG00000000653
>ENSMMOT00000018579	ENSMMOG00000000653
>ENSMMOT00000018592	ENSMMOG00000000653
>ENSBSLT00000017903	ENSBSLG00000008344
>ENSBSLT00000017926	ENSBSLG00000008344
