ENSPCIT00000025237 ENSPCIG00000015574
ENSVURT00010008941 ENSVURG00010006079
ENSMODT00000039945 ENSMODG00000025552
ENSMODT00000059486 ENSMODG00000025552
ENSOCUT00000022689 ENSOCUG00000024872
ENSPCOT00000042382 ENSPCOG00000028492
ENSMICT00000016882 ENSMICG00000016878
ENSPSMT00000001982 ENSPSMG00000001288
ENSOGAT00000005023 ENSOGAG00000005020
ENSPTRT00000007103 ENSPTRG00000003812
ENSPPAT00000038599 ENSPPAG00000031069
ENST00000294244 ENSG00000168005
ENSGGOT00000010171 ENSGGOG00000010130
ENSPPYT00000003740 ENSPPYG00000003126
ENSNLET00000005926 ENSNLEG00000004652
