ENSPPAT00000004287 ENSPPAG00000003965
ENSPTRT00000066570 ENSPTRG00000034499
ENST00000650709 ENSG00000214029
ENST00000537226 ENSG00000214029
ENSGGOT00000025400 ENSGGOG00000022474
ENSPPYT00000006101 ENSPPYG00000005154
ENSCATT00000037626 ENSCATG00000030852
ENSTGET00000001759 ENSTGEG00000001298
ENSMMUT00000045302 ENSMMUG00000031445
ENSMMUT00000088063 ENSMMUG00000031445
ENSCSAT00000016717 ENSCSAG00000001813
ENSPTET00000044041 ENSPTEG00000030811
ENSCJAT00000044012 ENSCJAG00000023027
ENSCCAT00000048142 ENSCCAG00000033250
ENSANAT00000038491 ENSANAG00000028090
ENSCPOT00000036063 ENSCPOG00000035408
ENSPSMT00000026782 ENSPSMG00000016326
