ENSCINT00000024898 ENSCING00000013420
ENSCSAVT00000004011 ENSCSAVG00000002347
ENSCSAVT00000004012 ENSCSAVG00000002347
ENSCINT00000028767 ENSCING00000016466
ENSCSAVT00000017634 ENSCSAVG00000010273
ENSSFOT00015019182 ENSSFOG00015012200
ENSPKIT00000010778 ENSPKIG00000011008
ENSSFOT00015018134 ENSSFOG00015011538
ENSSFOT00015018148 ENSSFOG00015011538
ENSPKIT00000007065 ENSPKIG00000008848
ENSCHAT00000032120 ENSCHAG00000014159
ENSDCDT00000039945 ENSDCDG00000021522
ENSDCDT00000039946 ENSDCDG00000021522
ENSEEET00000050899 ENSEEEG00000023673
ENSIPUT00000018117 ENSIPUG00000011801
ENSAMXT00000002123 ENSAMXG00000002077
