ENSPCAT00000009841 ENSPCAG00000009880
ENSLAFT00000007224 ENSLAFG00000007225
ENSDNOT00000024731 ENSDNOG00000025508
ENSMMUT00000061742 ENSMMUG00000043912
ENSMNET00000037143 ENSMNEG00000030744
ENSMFAT00000034062 ENSMFAG00000044426
ENSPANT00000016032 ENSPANG00000021144
ENSTGET00000009432 ENSTGEG00000006421
ENSMLET00000060502 ENSMLEG00000042558
ENSCATT00000052265 ENSCATG00000037339
ENSCSAT00000001971 ENSCSAG00000003943
ENSRROT00000034856 ENSRROG00000029770
ENSRBIT00000053466 ENSRBIG00000038642
ENSPTET00000020978 ENSPTEG00000015629
