ENSLACT00000014926 ENSLACG00000013049
ENSCMIT00000004343 ENSCMIG00000002260
ENSCMIT00000004355 ENSCMIG00000002260
ENSCMIT00000004371 ENSCMIG00000002260
ENSCMIT00000004404 ENSCMIG00000002260
ENSCMIT00000004411 ENSCMIG00000002260
ENSCMIT00000004419 ENSCMIG00000002260
ENSCMIT00000004427 ENSCMIG00000002260
ENSDCDT00000003998 ENSDCDG00000001757
ENSDCDT00000004009 ENSDCDG00000001757
ENSDCDT00000004025 ENSDCDG00000001757
ENSDCDT00000004029 ENSDCDG00000001757
ENSCHAT00000061304 ENSCHAG00000025683
ENSAMXT00000009728 ENSAMXG00000009466
ENSAMXT00000031053 ENSAMXG00000009466
ENSAMXT00000033587 ENSAMXG00000009466
