>ENSDCDT00000047624	ENSDCDG00000024965
>ENSIPUT00000005898	ENSIPUG00000003938
>ENSDART00000020616	ENSDARG00000008010
>ENSHHUT00000034428	ENSHHUG00000020928
>ENSELUT00000005933	ENSELUG00000008881
>ENSSMAT00000030064	ENSSMAG00000018207
>ENSGWIT00000057547	ENSGWIG00000025664
>ENSBSLT00000018814	ENSBSLG00000008774
>ENSTRUT00000025441	ENSTRUG00000010070
>ENSMMOT00000012092	ENSMMOG00000009146
>ENSLCRT00005010571	ENSLCRG00005004722
>ENSCGOT00000034481	ENSCGOG00000014934
>ENSLCAT00010010615	ENSLCAG00010004957
>ENSCSET00000010104	ENSCSEG00000006410
>ENSSDUT00000010861	ENSSDUG00000007804
