>ENSRROT00000027446	ENSRROG00000024689
>ENSRBIT00000043485	ENSRBIG00000033801
>ENSPTET00000040607	ENSPTEG00000028642
>ENSRROT00000046082	ENSRROG00000034841
>ENSRBIT00000062916	ENSRBIG00000042925
>ENSPTET00000040454	ENSPTEG00000028547
>ENSMLET00000042152	ENSMLEG00000033531
>ENSCATT00000004980	ENSCATG00000004566
>ENSMFAT00000002603	ENSMFAG00000045574
>ENSMMUT00000008573	ENSMMUG00000006133
>ENSMNET00000066162	ENSMNEG00000043651
>ENSTGET00000013876	ENSTGEG00000009412
>ENSPANT00000043613	ENSPANG00000032486
>ENSGGOT00000057796	ENSGGOG00000040768
>ENSNLET00000056341	ENSNLEG00000034982
