ENSPMAT00000005088 ENSPMAG00000004603
ENSEBUT00000010196 ENSEBUG00000006207
ENSEBUT00000010229 ENSEBUG00000006207
ENSEBUT00000010264 ENSEBUG00000006207
ENSEBUT00000010295 ENSEBUG00000006207
ENSEBUT00000021702 ENSEBUG00000013060
ENSEBUT00000021711 ENSEBUG00000013060
ENSCHAT00000018400 ENSCHAG00000008763
ENSCHAT00000018460 ENSCHAG00000008763
ENSCHAT00000018523 ENSCHAG00000008763
ENSDCDT00000008462 ENSDCDG00000003546
ENSDCDT00000008470 ENSDCDG00000003546
ENSDCDT00000008480 ENSDCDG00000003546
ENSDCDT00000008505 ENSDCDG00000003546
ENSAMXT00000032381 ENSAMXG00000002342
ENSAMXT00000042416 ENSAMXG00000002342
ENSAMXT00000040155 ENSAMXG00000002342
ENSAMXT00000046441 ENSAMXG00000002342
ENSAMXT00000002416 ENSAMXG00000002342
