ENSEBUT00000008210 ENSEBUG00000005036
ENSEBUT00000010705 ENSEBUG00000006533
ENSVURT00010020644 ENSVURG00010013866
ENSVURT00010020661 ENSVURG00010013866
ENSVURT00010020680 ENSVURG00010013866
ENSVURT00010020697 ENSVURG00010013866
ENSVURT00010020709 ENSVURG00010013866
ENSVURT00010020753 ENSVURG00010013866
ENSVURT00010020769 ENSVURG00010013866
ENSPCIT00000029170 ENSPCIG00000017911
ENSPCIT00000064398 ENSPCIG00000017911
ENSPCIT00000029169 ENSPCIG00000017911
ENSPCIT00000029171 ENSPCIG00000017911
ENSPCIT00000061318 ENSPCIG00000017911
ENSPCIT00000029168 ENSPCIG00000017911
ENSSHAT00000020294 ENSSHAG00000017080
ENSMODT00000021640 ENSMODG00000017043
ENSMODT00000070261 ENSMODG00000017043
ENSPCAT00000004783 ENSPCAG00000004757
ENSLAFT00000029524 ENSLAFG00000025636
ENSETET00000008121 ENSETEG00000008120
ENSCLAT00000004201 ENSCLAG00000002939
ENSCPOT00000015184 ENSCPOG00000015037
ENSCAPT00000018093 ENSCAPG00000014708
