ENSHHUT00000028037 ENSHHUG00000017084
ENSHHUT00000016020 ENSHHUG00000009637
ENSELUT00000002354 ENSELUG00000010819
ENSELUT00000002367 ENSELUG00000010819
ENSCHAT00000061396 ENSCHAG00000025749
ENSCHAT00000061410 ENSCHAG00000025749
ENSSDUT00000007360 ENSSDUG00000005314
ENSSDUT00000007396 ENSSDUG00000005314
ENSCSET00000013899 ENSCSEG00000008799
ENSTRUT00000042298 ENSTRUG00000016493
ENSMMOT00000002840 ENSMMOG00000002251
ENSMMOT00000002841 ENSMMOG00000002251
ENSCGOT00000054804 ENSCGOG00000022737
ENSCGOT00000054807 ENSCGOG00000022737
ENSMAMT00000015545 ENSMAMG00000010258
ENSMALT00000022013 ENSMALG00000015100
ENSLCAT00010038096 ENSLCAG00010017423
ENSLCAT00010038098 ENSLCAG00010017423
ENSLCAT00010038100 ENSLCAG00010017423
ENSSMAT00000000714 ENSSMAG00000000437
ENSSDUT00000007473 ENSSDUG00000005376
