>ENSGGOT00000001095	ENSGGOG00000001087
>ENST00000564831	ENSG00000184730
>ENST00000431282	ENSG00000184730
>ENSPTRT00000095396	ENSPTRG00000050722
>ENSPTRT00000100613	ENSPTRG00000050722
>ENSPPYT00000008512	ENSPPYG00000007230
>ENSNLET00000055006	ENSNLEG00000029244
>ENSTGET00000021897	ENSTGEG00000014828
>ENSPANT00000022691	ENSPANG00000019063
>ENSMLET00000046954	ENSMLEG00000035916
>ENSCATT00000013459	ENSCATG00000012046
>ENSCATT00000013493	ENSCATG00000012046
>ENSMMUT00000001018	ENSMMUG00000000707
>ENSMFAT00000000744	ENSMFAG00000044719
>ENSMNET00000043917	ENSMNEG00000033686
>ENSCSAT00000004318	ENSCSAG00000006282
>ENSRROT00000065712	ENSRROG00000043816
>ENSRBIT00000067648	ENSRBIG00000044956
