>ENSELUT00000035114	ENSELUG00000022645
>ENSHHUT00000023805	ENSHHUG00000014368
>ENSSPAT00000029226	ENSSPAG00000021647
>ENSNBRT00000032315	ENSNBRG00000023950
>ENSMMOT00000007078	ENSMMOG00000005402
>ENSTNIT00000008214	ENSTNIG00000005368
>ENSGAFT00000025576	ENSGAFG00000017095
>ENSPRET00000017003	ENSPREG00000011367
>ENSCVAT00000012322	ENSCVAG00000003141
>ENSGWIT00000040679	ENSGWIG00000019206
>ENSCSET00000015338	ENSCSEG00000009740
>ENSPMGT00000029059	ENSPMGG00000022022
>ENSAMXT00000041929	ENSAMXG00000034959
