>ENSDCDT00000032969	ENSDCDG00000018406
>ENSCHAT00000001037	ENSCHAG00000000662
>ENSIPUT00000029421	ENSIPUG00000019147
>ENSIPUT00000029433	ENSIPUG00000019155
>ENSIPUT00000029448	ENSIPUG00000019155
>ENSEEET00000035697	ENSEEEG00000016794
>ENSEEET00000035699	ENSEEEG00000016794
>ENSEEET00000035701	ENSEEEG00000016794
>ENSEEET00000039594	ENSEEEG00000018596
>ENSPNAT00000017823	ENSPNAG00000016612
>ENSPNAT00000021137	ENSPNAG00000019399
>ENSPNAT00000021151	ENSPNAG00000019399
>ENSPNAT00000021178	ENSPNAG00000019399
>ENSPNAT00000021180	ENSPNAG00000019399
>ENSPNAT00000021184	ENSPNAG00000019399
>ENSAMXT00000037541	ENSAMXG00000029480
>ENSAMXT00000040275	ENSAMXG00000038859
>ENSAMXT00000034564	ENSAMXG00000041198
>ENSDART00000171258	ENSDARG00000100946
>ENSDART00000173691	ENSDARG00000100946
>ENSDART00000125584	ENSDARG00000086421
>ENSDART00000173774	ENSDARG00000086421
>ENSELUT00000010918	ENSELUG00000006328
>ENSELUT00000010929	ENSELUG00000006328
>ENSELUT00000011706	ENSELUG00000005929
>ENSELUT00000011717	ENSELUG00000005929
>ENSHHUT00000011460	ENSHHUG00000006804
>ENSHHUT00000011464	ENSHHUG00000006804
>ENSHHUT00000011477	ENSHHUG00000006804
>ENSHHUT00000047888	ENSHHUG00000028144
>ENSHHUT00000047873	ENSHHUG00000028135
>ENSHHUT00000069767	ENSHHUG00000039791
>ENSELUT00000003600	ENSELUG00000010141
>ENSAOCT00000019271	ENSAOCG00000016109
>ENSAPET00000015333	ENSAPEG00000010660
>ENSAPET00000015340	ENSAPEG00000010660
>ENSAPOT00000005761	ENSAPOG00000008832
>ENSSPAT00000005384	ENSSPAG00000004095
>ENSPRNT00000029944	ENSPRNG00000014072
>ENSPNYT00000006488	ENSPNYG00000004882
>ENSHBUT00000016653	ENSHBUG00000011455
>ENSMZET00005012480	ENSMZEG00005009059
>ENSACLT00000009365	ENSACLG00000006245
>ENSNBRT00000023335	ENSNBRG00000017417
>ENSONIT00000019793	ENSONIG00000015713
>ENSACIT00000021987	ENSACIG00000016648
>ENSPFOT00000014182	ENSPFOG00000014148
>ENSPMET00000009459	ENSPMEG00000005484
>ENSPLAT00000022591	ENSPLAG00000017973
>ENSPRET00000006355	ENSPREG00000004362
>ENSGAFT00000028805	ENSGAFG00000019275
>ENSXMAT00000040015	ENSXMAG00000025602
>ENSKMAT00000007690	ENSKMAG00000005701
>ENSOMET00000009694	ENSOMEG00000005062
>ENSGWIT00000006549	ENSGWIG00000003462
>ENSGWIT00000006550	ENSGWIG00000003462
>ENSGWIT00000006552	ENSGWIG00000003462
>ENSSDUT00000005047	ENSSDUG00000003672
