ENSOANT00000038726 ENSOANG00000031056
ENSPCIT00000026148 ENSPCIG00000016085
ENSPCIT00000057346 ENSPCIG00000016085
ENSPCIT00000026151 ENSPCIG00000016085
ENSPCIT00000026152 ENSPCIG00000016085
ENSPCIT00000026156 ENSPCIG00000016085
ENSPCIT00000026159 ENSPCIG00000016085
ENSPCIT00000026163 ENSPCIG00000016085
ENSPCIT00000026167 ENSPCIG00000016085
ENSPCIT00000059912 ENSPCIG00000016085
ENSVURT00010019691 ENSVURG00010013236
ENSVURT00010019705 ENSVURG00010013236
ENSVURT00010019714 ENSVURG00010013236
ENSVURT00010019740 ENSVURG00010013236
ENSVURT00010019761 ENSVURG00010013236
ENSMODT00000002445 ENSMODG00000001964
ENSMODT00000071853 ENSMODG00000001964
ENSMODT00000066542 ENSMODG00000001964
ENSMODT00000078694 ENSMODG00000001964
ENSSHAT00000010980 ENSSHAG00000009383
ENSPCAT00000000502 ENSPCAG00000000445
ENSUMAT00000004812 ENSUMAG00000002805
ENSUMAT00000004817 ENSUMAG00000002805
ENSUMAT00000004827 ENSUMAG00000002805
ENSUMAT00000004833 ENSUMAG00000002805
ENSUAMT00000024645 ENSUAMG00000016519
ENSUAMT00000024648 ENSUAMG00000016519
ENSUAMT00000024673 ENSUAMG00000016519
ENSUAMT00000024674 ENSUAMG00000016519
ENSUAMT00000024677 ENSUAMG00000016519
ENSNVIT00000026382 ENSNVIG00000017530
ENSNVIT00000026392 ENSNVIG00000017530
ENSNVIT00000026396 ENSNVIG00000017530
