ENSPRNT00000032155 ENSPRNG00000015074
ENSGALT00000104730 ENSGALG00000048656
ENSGALT00000099295 ENSGALG00000048656
ENSECRT00000025048 ENSECRG00000016588
ENSCMIT00000019384 ENSCMIG00000008921
ENSCMIT00000019385 ENSCMIG00000008921
ENSMVIT00005012591 ENSMVIG00005008128
ENSCPGT00000021695 ENSCPGG00000013875
ENSMUNT00000000634 ENSMUNG00000000505
ENSNPET00000018575 ENSNPEG00000013490
ENSNSUT00000014901 ENSNSUG00000010372
ENSCGOT00000006470 ENSCGOG00000003128
ENSLBET00000014979 ENSLBEG00000010969
ENSAPOT00000025432 ENSAPOG00000001102
ENSSPAT00000003914 ENSSPAG00000002938
ENSMZET00005021750 ENSMZEG00005015796
ENSPNYT00000030135 ENSPNYG00000022153
ENSNBRT00000020080 ENSNBRG00000015054
ENSONIT00000015455 ENSONIG00000012262
ENSACIT00000032435 ENSACIG00000024416
ENSFHET00000018880 ENSFHEG00000013246
ENSGAFT00000000277 ENSGAFG00000000211
ENSKMAT00000005389 ENSKMAG00000003990
ENSLCAT00010042318 ENSLCAG00010019360
ENSSDUT00000018646 ENSSDUG00000013357
ENSHCOT00000003931 ENSHCOG00000008091
ENSHHUT00000093393 ENSHHUG00000052297
ENSHHUT00000058231 ENSHHUG00000033603
ENSAMXT00000002974 ENSAMXG00000002864
ENSAMXT00000034505 ENSAMXG00000002864
ENSEEET00000024430 ENSEEEG00000011714
ENSSFOT00015030055 ENSSFOG00015019073
ENSBSLT00000044284 ENSBSLG00000019502
ENSPMGT00000028386 ENSPMGG00000021494
ENSFHET00000002320 ENSFHEG00000009550
ENSCVAT00000010632 ENSCVAG00000004268
ENSPMET00000001047 ENSPMEG00000011170
ENSPLAT00000022006 ENSPLAG00000017493
ENSPRET00000001226 ENSPREG00000000859
ENSXMAT00000040354 ENSXMAG00000027137
ENSXCOT00000009631 ENSXCOG00000007246
ENSKMAT00000027547 ENSKMAG00000020152
