ENSVURT00010012636 ENSVURG00010008599
ENSVURT00010028873 ENSVURG00010019428
ENSVURT00010025762 ENSVURG00010017351
ENSPCIT00000000962 ENSPCIG00000000592
ENSSHAT00000017188 ENSSHAG00000014488
ENSMODT00000070748 ENSMODG00000047466
ENSPCIT00000058618 ENSPCIG00000035941
ENSPCIT00000067315 ENSPCIG00000035941
ENSPCIT00000057507 ENSPCIG00000035941
ENSPCIT00000062303 ENSPCIG00000035941
ENSPCIT00000062378 ENSPCIG00000035941
ENSMODT00000070865 ENSMODG00000015219
ENSMODT00000081437 ENSMODG00000015219
ENSMODT00000084892 ENSMODG00000015219
ENSMODT00000060118 ENSMODG00000015219
ENSMODT00000072893 ENSMODG00000015219
ENSMODT00000080561 ENSMODG00000015219
ENSMODT00000087403 ENSMODG00000015219
ENSMODT00000019353 ENSMODG00000015219
ENSMODT00000019382 ENSMODG00000015242
