ENSLACT00000011860 ENSLACG00000010362
ENSXETT00000014109 ENSXETG00000004098
ENSXETT00000029866 ENSXETG00000004098
ENSXETT00000029869 ENSXETG00000004098
ENSVURT00010009015 ENSVURG00010006153
ENSVURT00010000970 ENSVURG00010000730
ENSVURT00010000992 ENSVURG00010000730
ENSPCIT00000062073 ENSPCIG00000015615
ENSPCIT00000025317 ENSPCIG00000015615
ENSMEUT00000002973 ENSMEUG00000002964
ENSSHAT00000018744 ENSSHAG00000015782
ENSMODT00000004740 ENSMODG00000003789
ENSMODT00000071505 ENSMODG00000003789
ENSDNOT00000040704 ENSDNOG00000045332
ENSCHOT00000003629 ENSCHOG00000003608
