>ENSPTRT00000108910	ENSPTRG00000050568
>ENSPPAT00000048646	ENSPPAG00000036037
>ENSGGOT00000059909	ENSGGOG00000037039
>ENSNLET00000047776	ENSNLEG00000030225
>ENSMFAT00000008502	ENSMFAG00000003633
>ENSMNET00000039993	ENSMNEG00000031959
>ENSMMUT00000070325	ENSMMUG00000047232
>ENSMMUT00000080004	ENSMMUG00000047232
>ENSPANT00000041686	ENSPANG00000034153
>ENSTGET00000036778	ENSTGEG00000024797
>ENSMLET00000057982	ENSMLEG00000041356
>ENSCATT00000047036	ENSCATG00000035017
>ENSRBIT00000037761	ENSRBIG00000031071
>ENSRROT00000039806	ENSRROG00000032008
>ENSPTET00000040213	ENSPTEG00000028401
