>ENSXETT00000015234	ENSXETG00000003419
>ENSLACT00000006389	ENSLACG00000005622
>ENSLACT00000025354	ENSLACG00000005622
>ENSECRT00000004397	ENSECRG00000002936
>ENSCMIT00000036315	ENSCMIG00000015128
>ENSACAT00000017670	ENSACAG00000017605
>ENSSMRT00000028882	ENSSMRG00000019073
>ENSSPUT00000019741	ENSSPUG00000014308
>ENSCPRT00005018685	ENSCPRG00005011156
>ENSCPRT00005018694	ENSCPRG00005011156
>ENSCABT00000000464	ENSCABG00000000393
>ENSCABT00000000466	ENSCABG00000000393
>ENSPSIT00000019983	ENSPSIG00000017626
>ENSPSIT00000019988	ENSPSIG00000017626
