ENSMOCT00000031311 ENSMOCG00000022900
ENSMAUT00000029571 ENSMAUG00000022052
ENSLCOT00000011745 ENSLCOG00000008039
ENSVURT00010014965 ENSVURG00010010113
ENSVURT00010014974 ENSVURG00010010113
ENSVURT00010014978 ENSVURG00010010113
ENSVURT00010014987 ENSVURG00010010113
ENSPCIT00000013708 ENSPCIG00000008870
ENSPCIT00000013712 ENSPCIG00000008870
ENSPCIT00000013705 ENSPCIG00000008870
ENSSHAT00000020698 ENSSHAG00000017411
ENSMODT00000013640 ENSMODG00000010691
ENSMODT00000086070 ENSMODG00000010691
ENSMODT00000074347 ENSMODG00000010691
ENSMODT00000086678 ENSMODG00000010691
