ENSNLET00000037704 ENSNLEG00000027432
ENSPTRT00000026429 ENSPTRG00000014145
ENSPPAT00000028470 ENSPPAG00000025673
ENST00000317749 ENSG00000189269
ENST00000614553 ENSG00000189269
ENSMMUT00000098911 ENSMMUG00000056456
ENSMMUT00000066319 ENSMMUG00000031051
ENSMMUT00000082019 ENSMMUG00000031051
ENSMMUT00000098947 ENSMMUG00000031051
ENSMMUT00000106928 ENSMMUG00000031051
ENSMMUT00000093882 ENSMMUG00000031051
ENSMMUT00000044155 ENSMMUG00000031051
ENSMMUT00000044156 ENSMMUG00000031051
ENSMMUT00000086913 ENSMMUG00000031051
ENSMMUT00000080196 ENSMMUG00000031051
ENSMFAT00000026516 ENSMFAG00000045792
ENSCSAT00000009547 ENSCSAG00000011457
ENSPANT00000017615 ENSPANG00000004877
ENSPTET00000036915 ENSPTEG00000026323
ENSPTRT00000056904 ENSPTRG00000029444
ENSPTRT00000078003 ENSPTRG00000029444
ENSPPAT00000022846 ENSPPAG00000020842
ENST00000382097 ENSG00000205856
