ENSCGOT00000050861 ENSCGOG00000021323
ENSGACT00000012668 ENSGACG00000009582
ENSGACT00000012674 ENSGACG00000009582
ENSTNIT00000016540 ENSTNIG00000013337
ENSTRUT00000013489 ENSTRUG00000005572
ENSTRUT00000042328 ENSTRUG00000016506
ENSTRUT00000042327 ENSTRUG00000016506
ENSLBET00000014075 ENSLBEG00000010314
ENSAOCT00000020697 ENSAOCG00000017717
ENSAOCT00000020789 ENSAOCG00000017717
ENSAOCT00000020916 ENSAOCG00000017717
ENSSPAT00000000667 ENSSPAG00000000512
ENSPRNT00000037528 ENSPRNG00000017669
ENSXCOT00000012800 ENSXCOG00000009184
ENSXCOT00000012801 ENSXCOG00000009184
ENSXCOT00000013099 ENSXCOG00000009184
ENSXMAT00000041550 ENSXMAG00000012710
ENSXMAT00000012748 ENSXMAG00000012710
ENSXMAT00000040787 ENSXMAG00000012710
ENSPMET00000030886 ENSPMEG00000012082
ENSPFOT00000017396 ENSPFOG00000017305
ENSPLAT00000003969 ENSPLAG00000010205
ENSPRET00000018098 ENSPREG00000011902
ENSPRET00000018141 ENSPREG00000011902
ENSGAFT00000017398 ENSGAFG00000011647
ENSFHET00000027532 ENSFHEG00000020405
ENSCVAT00000025809 ENSCVAG00000020258
ENSKMAT00000027663 ENSKMAG00000020272
