>ENSPMAT00000001519	ENSPMAG00000001360
>ENSEBUT00000002856	ENSEBUG00000001890
>ENSEBUT00000025555	ENSEBUG00000015424
>ENSEBUT00000025570	ENSEBUG00000015424
>ENSCHAT00000009156	ENSCHAG00000004825
>ENSCHAT00000009222	ENSCHAG00000004825
>ENSDCDT00000009649	ENSDCDG00000004373
>ENSDCDT00000009653	ENSDCDG00000004373
>ENSDCDT00000009682	ENSDCDG00000004373
>ENSTRUT00000016541	ENSTRUG00000006702
>ENSTRUT00000016540	ENSTRUG00000006702
>ENSLBET00000023132	ENSLBEG00000016880
>ENSXMAT00000018250	ENSXMAG00000018179
>ENSXMAT00000038357	ENSXMAG00000018179
>ENSGAFT00000011031	ENSGAFG00000007390
>ENSGAFT00000011037	ENSGAFG00000007390
>ENSPFOT00000013815	ENSPFOG00000013726
>ENSPLAT00000011690	ENSPLAG00000004694
>ENSPLAT00000011697	ENSPLAG00000004694
>ENSPMET00000012714	ENSPMEG00000003362
>ENSPRET00000005658	ENSPREG00000003882
>ENSFHET00000009476	ENSFHEG00000004997
