ENSCCNT00000039086 ENSCCNG00000029635
ENSDORT00000002820 ENSDORG00000002820
MGP_SPRETEiJ_T0082675 MGP_SPRETEiJ_G0030770
ENSMSIT00000012857 ENSMSIG00000008906
ENSMSIT00000012868 ENSMSIG00000008906
ENSMUST00000085422 ENSMUSG00000066500
MGP_CAROLIEiJ_T0079342 MGP_CAROLIEiJ_G0029672
MGP_PahariEiJ_T0016210 MGP_PahariEiJ_G0012897
ENSRNOT00000071054 ENSRNOG00000047254
ENSRNOT00000071503 ENSRNOG00000047254
ENSRNOT00000070899 ENSRNOG00000045902
ENSRNOT00000073798 ENSRNOG00000045902
ENSMUGT00000011605 ENSMUGG00000008805
ENSMUGT00000013172 ENSMUGG00000009899
ENSMOCT00000018473 ENSMOCG00000014130
