ENSHHUT00000016836 ENSHHUG00000010122
ENSELUT00000043596 ENSELUG00000001538
ENSPNYT00000023911 ENSPNYG00000017640
ENSHBUT00000001756 ENSHBUG00000010053
ENSHBUT00000001760 ENSHBUG00000010053
ENSNBRT00000032277 ENSNBRG00000023929
ENSAPET00000006678 ENSAPEG00000004685
ENSXCOT00000013345 ENSXCOG00000009991
ENSCGOT00000053359 ENSCGOG00000022231
ENSCGOT00000053360 ENSCGOG00000022231
ENSCGOT00000053361 ENSCGOG00000022231
ENSCGOT00000053365 ENSCGOG00000022231
ENSCGOT00000053367 ENSCGOG00000022231
ENSSMAT00000011312 ENSSMAG00000006894
