ENSPCIT00000043783 ENSPCIG00000026294
ENSVURT00010000286 ENSVURG00010000226
ENSMEUT00000004985 ENSMEUG00000004979
ENSMODT00000057969 ENSMODG00000043771
ENSLAFT00000000993 ENSLAFG00000000993
ENSPCAT00000015568 ENSPCAG00000015610
ENSDORT00000033586 ENSDORG00000027059
ENSCCNT00000031767 ENSCCNG00000024395
MGP_SPRETEiJ_T0049472 MGP_SPRETEiJ_G0023422
ENSMUST00000048482 ENSMUSG00000042041
ENSMSIT00000008060 ENSMSIG00000005698
MGP_CAROLIEiJ_T0047509 MGP_CAROLIEiJ_G0022508
MGP_PahariEiJ_T0020521 MGP_PahariEiJ_G0014004
ENSRNOT00000054848 ENSRNOG00000036641
ENSMUGT00000010715 ENSMUGG00000008174
ENSMUGT00000001795 ENSMUGG00000001420
