ENSCVAT00000029174 ENSCVAG00000011409
ENSCVAT00000015907 ENSCVAG00000011461
ENSPMET00000031929 ENSPMEG00000014957
ENSPRET00000003349 ENSPREG00000002388
ENSGAFT00000010366 ENSGAFG00000006965
ENSXMAT00000033076 ENSXMAG00000027771
ENSXMAT00000039379 ENSXMAG00000027771
ENSXMAT00000024693 ENSXMAG00000022455
ENSXMAT00000029924 ENSXMAG00000022455
ENSXMAT00000036121 ENSXMAG00000027824
ENSXMAT00000030154 ENSXMAG00000027824
ENSXMAT00000033920 ENSXMAG00000027824
ENSXCOT00000014045 ENSXCOG00000010506
ENSXCOT00000014046 ENSXCOG00000010506
ENSGAFT00000010376 ENSGAFG00000006970
ENSGAFT00000010380 ENSGAFG00000006970
ENSPMET00000020241 ENSPMEG00000014948
ENSPMET00000020247 ENSPMEG00000014948
ENSPLAT00000017704 ENSPLAG00000013538
ENSPLAT00000017710 ENSPLAG00000013538
ENSPRET00000003311 ENSPREG00000002361
