FBtr0071974 FBgn0034825
FBtr0306947 FBgn0263048
FBtr0306945 FBgn0263048
FBtr0306946 FBgn0263048
FBtr0333229 FBgn0001128
FBtr0079148 FBgn0001128
FBtr0333230 FBgn0001128
FBtr0079147 FBgn0001128
FBtr0079146 FBgn0001128
FBtr0333228 FBgn0001128
K11H3.1a.1 WBGene00010778
K11H3.1b.1 WBGene00010778
K11H3.1c.1 WBGene00010778
K11H3.1c.2 WBGene00010778
K11H3.1d.1 WBGene00010778
K11H3.1d.2 WBGene00010778
F47G4.3.1 WBGene00009824
ENSTRUT00000027799 ENSTRUG00000010970
ENSMMOT00000002781 ENSMMOG00000002181
ENSMMOT00000002951 ENSMMOG00000002181
ENSMMOT00000002959 ENSMMOG00000002181
ENSMMOT00000003078 ENSMMOG00000002181
ENSHCOT00000027845 ENSHCOG00000018335
ENSGWIT00000006870 ENSGWIG00000003646
