ENSSHAT00000022497 ENSSHAG00000018890
ENSMODT00000085311 ENSMODG00000045989
ENSVURT00010002459 ENSVURG00010001798
ENSPCIT00000048711 ENSPCIG00000029009
ENSMEUT00000007703 ENSMEUG00000007683
ENSMUST00000099726 ENSMUSG00000075045
MGP_SPRETEiJ_T0024059 MGP_SPRETEiJ_G0016143
ENSMUST00000204003 ENSMUSG00000058537
ENSMUST00000176875 ENSMUSG00000075046
ENSMUST00000174056 ENSMUSG00000075046
ENSLAFT00000006786 ENSLAFG00000006787
ENSPCAT00000011120 ENSPCAG00000011184
ENSETET00000013567 ENSETEG00000013568
ENSPCOT00000024055 ENSPCOG00000018343
ENSPSMT00000018666 ENSPSMG00000011443
ENSMICT00000062996 ENSMICG00000045312
ENSOGAT00000033581 ENSOGAG00000029285
ENSCCNT00000020451 ENSCCNG00000016051
ENSDORT00000028674 ENSDORG00000023993
