>ENSEBUT00000024615	ENSEBUG00000014809
>ENSVURT00010008798	ENSVURG00010005966
>ENSSHAT00000015565	ENSSHAG00000013160
>ENSMODT00000005517	ENSMODG00000004383
>ENSMODT00000058355	ENSMODG00000004383
>ENSNLET00000019590	ENSNLEG00000015357
>ENSNLET00000056825	ENSNLEG00000015357
>ENSNLET00000053660	ENSNLEG00000006498
>ENSCCNT00000004933	ENSCCNG00000003991
>ENSCCNT00000002945	ENSCCNG00000002447
>ENSPPAT00000055368	ENSPPAG00000039131
>ENSPTRT00000102049	ENSPTRG00000052496
>ENSNLET00000046942	ENSNLEG00000031627
