FBtr0088850 FBgn0026722
F26E4.10a.1 WBGene00009163
F26E4.10b.1 WBGene00009163
ENSEBUT00000009792 ENSEBUG00000005974
ENSEBUT00000009822 ENSEBUG00000005974
ENSEBUT00000027954 ENSEBUG00000016779
ENSEBUT00000027961 ENSEBUG00000016779
ENSPCIT00000008970 ENSPCIG00000006010
ENSPCIT00000008973 ENSPCIG00000006010
ENSVURT00010031069 ENSVURG00010020881
ENSVURT00010031082 ENSVURG00010020881
ENSSHAT00000018052 ENSSHAG00000015198
ENSMODT00000057922 ENSMODG00000004807
ENSMODT00000056861 ENSMODG00000004807
ENSMODT00000038332 ENSMODG00000004807
ENSMODT00000086909 ENSMODG00000004807
ENSSTOT00000041097 ENSSTOG00000016323
ENSSTOT00000016330 ENSSTOG00000016323
