ENSPNAT00000039006 ENSPNAG00000024933
ENSPNAT00000026029 ENSPNAG00000023534
ENSPNAT00000018225 ENSPNAG00000003454
ENSPNAT00000018224 ENSPNAG00000016939
ENSPNAT00000034950 ENSPNAG00000014141
ENSPNAT00000007579 ENSPNAG00000010549
ENSPNAT00000017564 ENSPNAG00000016401
ENSPNAT00000020639 ENSPNAG00000003558
ENSPNAT00000033658 ENSPNAG00000029128
ENSPNAT00000027933 ENSPNAG00000025033
ENSPNAT00000006273 ENSPNAG00000011230
ENSAMXT00000036169 ENSAMXG00000030752
ENSAMXT00000041994 ENSAMXG00000034525
ENSEEET00000010261 ENSEEEG00000005142
ENSEEET00000010256 ENSEEEG00000005140
