C34E10.3.1 WBGene00001660
ENSPTET00000000304 ENSPTEG00000000254
ENSEBUT00000019902 ENSEBUG00000012028
ENSEBUT00000019948 ENSEBUG00000012028
ENSEBUT00000020011 ENSEBUG00000012028
ENSEBUT00000020049 ENSEBUG00000012028
ENSEBUT00000020124 ENSEBUG00000012028
ENSSFOT00015022208 ENSSFOG00015014098
ENSSFOT00015022238 ENSSFOG00015014098
ENSSFOT00015022285 ENSSFOG00015014098
ENSPKIT00000023457 ENSPKIG00000018560
ENSLOCT00000007401 ENSLOCG00000006114
ENSAMXT00000041204 ENSAMXG00000002554
ENSAMXT00000034961 ENSAMXG00000002554
