>ENSMMOT00000009004	ENSMMOG00000006838
>ENSGALT00000104945	ENSGALG00000046911
>ENSGALT00000100460	ENSGALG00000051313
>ENSGALT00000106999	ENSGALG00000050102
>ENSGALT00000093455	ENSGALG00000049772
>ENSGALT00000086009	ENSGALG00000044238
>ENSGALT00000093807	ENSGALG00000047828
>ENSGALT00000094027	ENSGALG00000047170
>ENSGALT00000103920	ENSGALG00000050356
>ENSGALT00000104150	ENSGALG00000048857
>ENSGALT00000104082	ENSGALG00000048560
>ENSGALT00000084276	ENSGALG00000045962
>ENSGALT00000084419	ENSGALG00000045984
>ENSGALT00000085450	ENSGALG00000045335
>ENSGALT00000087958	ENSGALG00000052997
>ENSCPGT00000015425	ENSCPGG00000009947
