>ENSEBUT00000022168	ENSEBUG00000013327
>ENSCHAT00000054529	ENSCHAG00000023154
>ENSCHAT00000054544	ENSCHAG00000023154
>ENSCHAT00000054583	ENSCHAG00000023154
>ENSDCDT00000027212	ENSDCDG00000015327
>ENSDCDT00000027299	ENSDCDG00000015327
>ENSDCDT00000027318	ENSDCDG00000015327
>ENSDCDT00000027358	ENSDCDG00000015327
>ENSDCDT00000027376	ENSDCDG00000015327
>ENSEEET00000035014	ENSEEEG00000016463
>ENSEEET00000006250	ENSEEEG00000003284
>ENSEEET00000006257	ENSEEEG00000003288
>ENSEEET00000006259	ENSEEEG00000003288
>ENSIPUT00000031331	ENSIPUG00000020341
>ENSIPUT00000031357	ENSIPUG00000020341
>ENSAMXT00000003582	ENSAMXG00000003488
>ENSAMXT00000042913	ENSAMXG00000003488
