ENSCMIT00000008285 ENSCMIG00000004348
ENSCMIT00000002949 ENSCMIG00000001687
ENSCMIT00000011492 ENSCMIG00000005831
ENSCMIT00000013051 ENSCMIG00000006475
ENSCMIT00000001238 ENSCMIG00000000792
ENSCMIT00000003756 ENSCMIG00000002179
ENSCMIT00000002744 ENSCMIG00000001582
ENSCMIT00000014380 ENSCMIG00000007016
ENSCMIT00000008310 ENSCMIG00000004359
ENSCMIT00000008571 ENSCMIG00000004476
ENSCMIT00000008276 ENSCMIG00000004340
ENSCMIT00000004919 ENSCMIG00000002810
ENSCMIT00000005043 ENSCMIG00000002887
ENSCMIT00000000507 ENSCMIG00000000337
ENSCMIT00000031244 ENSCMIG00000013234
ENSCMIT00000012987 ENSCMIG00000006439
