ENSPLAT00000025540 ENSPLAG00000020739
ENSPMET00000018091 ENSPMEG00000013135
ENSPMET00000018112 ENSPMEG00000013135
ENSPMET00000018117 ENSPMEG00000013135
ENSPRET00000007566 ENSPREG00000005131
ENSXCOT00000011297 ENSXCOG00000008443
ENSXMAT00000032800 ENSXMAG00000014548
ENSXMAT00000035343 ENSXMAG00000014548
ENSXMAT00000014588 ENSXMAG00000014548
ENSGAFT00000012421 ENSGAFG00000008307
ENSGAFT00000012427 ENSGAFG00000008307
ENSCVAT00000022410 ENSCVAG00000017238
ENSCVAT00000022485 ENSCVAG00000017238
ENSCVAT00000031166 ENSCVAG00000017238
ENSFHET00000015689 ENSFHEG00000001053
ENSFHET00000015691 ENSFHEG00000001053
ENSKMAT00000017960 ENSKMAG00000013198
ENSKMAT00000017972 ENSKMAG00000013198
