ENSATET00000011413 ENSATEG00000007850
ENSGWIT00000015828 ENSGWIG00000005765
ENSGWIT00000015918 ENSGWIG00000005765
ENSGWIT00000016025 ENSGWIG00000005765
ENSGWIT00000016033 ENSGWIG00000005765
ENSAPOT00000004264 ENSAPOG00000009940
ENSSPAT00000000151 ENSSPAG00000000092
ENSXMAT00000023842 ENSXMAG00000008738
ENSXMAT00000008787 ENSXMAG00000008738
ENSXCOT00000004321 ENSXCOG00000003364
ENSGAFT00000012724 ENSGAFG00000008468
ENSPMET00000004245 ENSPMEG00000009050
ENSPRET00000005564 ENSPREG00000003763
ENSPFOT00000006930 ENSPFOG00000006583
ENSPFOT00000022609 ENSPFOG00000006583
ENSPLAT00000006728 ENSPLAG00000008232
ENSFHET00000019130 ENSFHEG00000013549
ENSFHET00000019138 ENSFHEG00000013549
ENSCVAT00000025774 ENSCVAG00000020393
ENSCVAT00000025814 ENSCVAG00000020393
ENSCVAT00000025828 ENSCVAG00000020393
ENSKMAT00000006289 ENSKMAG00000004710
ENSKMAT00000006312 ENSKMAG00000004710
ENSORLT00000030856 ENSORLG00000027853
ENSORLT00000032916 ENSORLG00000027853
