ENSCINT00000015297 ENSCING00000007447
ENSCINT00000022126 ENSCING00000023496
ENSCINT00000036339 ENSCING00000019431
ENSCINT00000035541 ENSCING00000019431
ENSCSAVT00000010063 ENSCSAVG00000005857
ENSCINT00000030295 ENSCING00000022913
ENSCINT00000009596 ENSCING00000004635
ENSCMIT00000036637 ENSCMIG00000015263
ENSCSAVT00000014512 ENSCSAVG00000008402
ENSCINT00000035559 ENSCING00000021156
ENSCSAVT00000012261 ENSCSAVG00000007128
ENSCMIT00000036640 ENSCMIG00000015265
ENSCSAVT00000010057 ENSCSAVG00000005851
ENSCSAVT00000015235 ENSCSAVG00000008829
ENSCINT00000032593 ENSCING00000019409
ENSCINT00000011279 ENSCING00000005460
ENSCSAVT00000015234 ENSCSAVG00000008828
ENSCMIT00000049290 ENSCMIG00000019867
FBtr0080769 FBgn0001987
FBtr0080767 FBgn0001987
FBtr0080768 FBgn0001987
FBtr0343721 FBgn0001987
FBtr0080765 FBgn0001987
R12A1.4.1 WBGene00001578
