ENSMUST00000093935 ENSMUSG00000070334
ENSMUST00000058761 ENSMUSG00000051481
ENSMSIT00000045251 ENSMSIG00000029895
ENSMSIT00000045244 ENSMSIG00000029893
MGP_SPRETEiJ_T0031220 MGP_SPRETEiJ_G0017988
MGP_CAROLIEiJ_T0029801 MGP_CAROLIEiJ_G0017146
MGP_PahariEiJ_T0036532 MGP_PahariEiJ_G0018277
MGP_SPRETEiJ_T0031221 MGP_SPRETEiJ_G0017989
MGP_CAROLIEiJ_T0029802 MGP_CAROLIEiJ_G0017147
ENSMUST00000105053 ENSMUSG00000078256
ENSMSIT00000045248 ENSMSIG00000029894
ENSRNOT00000055286 ENSRNOG00000036838
ENSRNOT00000065405 ENSRNOG00000042701
ENSRNOT00000073764 ENSRNOG00000042736
ENSRNOT00000064626 ENSRNOG00000042736
