ENSRBIT00000066857 ENSRBIG00000044634
ENSPTET00000006830 ENSPTEG00000005136
ENSTGET00000027639 ENSTGEG00000018756
ENSMMUT00000085904 ENSMMUG00000050702
ENSCSAT00000018912 ENSCSAG00000018822
ENST00000588525 ENSG00000130383
ENST00000252675 ENSG00000130383
ENSGGOT00000006290 ENSGGOG00000006269
ENSPTRT00000056359 ENSPTRG00000010347
ENSPPAT00000036806 ENSPPAG00000030226
ENSGGOT00000006287 ENSGGOG00000006260
ENST00000524754 ENSG00000156413
ENST00000527106 ENSG00000156413
ENST00000286955 ENSG00000156413
ENST00000592563 ENSG00000156413
ENST00000529165 ENSG00000156413
ENST00000531085 ENSG00000156413
ENST00000531199 ENSG00000156413
ENST00000532464 ENSG00000156413
ENST00000528505 ENSG00000156413
