>ENSDCDT00000007806	ENSDCDG00000003706
>ENSDCDT00000007812	ENSDCDG00000003708
>ENSCHAT00000040403	ENSCHAG00000015864
>ENSCHAT00000040519	ENSCHAG00000015864
>ENSCHAT00000040769	ENSCHAG00000015864
>ENSCHAT00000040859	ENSCHAG00000015864
>ENSCHAT00000040965	ENSCHAG00000015864
>ENSCHAT00000041093	ENSCHAG00000015864
>ENSCHAT00000041148	ENSCHAG00000015864
>ENSCHAT00000041200	ENSCHAG00000015864
>ENSCHAT00000041216	ENSCHAG00000015864
>ENSEEET00000033342	ENSEEEG00000015689
>ENSAMXT00000017923	ENSAMXG00000017413
>ENSAMXT00000030301	ENSAMXG00000017413
>ENSAMXT00000038969	ENSAMXG00000017413
