ENSVURT00010032048 ENSVURG00010021527
ENSPCIT00000035412 ENSPCIG00000021479
ENSSHAT00000012827 ENSSHAG00000010888
ENSMODT00000019284 ENSMODG00000015157
ENSMODT00000086641 ENSMODG00000015157
ENSPPAT00000037724 ENSPPAG00000030572
ENSPTRT00000016991 ENSPTRG00000009241
ENSPTRT00000093697 ENSPTRG00000009241
ENSPTRT00000077559 ENSPTRG00000009241
ENSGGOT00000063280 ENSGGOG00000023387
ENSGGOT00000053454 ENSGGOG00000023387
ENSGGOT00000060465 ENSGGOG00000023387
ENSGGOT00000029834 ENSGGOG00000023387
ENST00000341165 ENSG00000188554
ENST00000586650 ENSG00000188554
ENST00000542611 ENSG00000188554
ENST00000590996 ENSG00000188554
