ENSSDUT00000013418 ENSSDUG00000009578
ENSCSET00000002774 ENSCSEG00000001818
ENSXCOT00000009634 ENSXCOG00000007248
ENSOMET00000000474 ENSOMEG00000010831
ENSSFOT00015000606 ENSSFOG00015000394
ENSTSYT00000033641 ENSTSYG00000030415
ENSTSYT00000012402 ENSTSYG00000030415
ENSTSYT00000036938 ENSTSYG00000030415
ENSANAT00000030840 ENSANAG00000024423
ENSANAT00000030844 ENSANAG00000024423
ENSPCIT00000052497 ENSPCIG00000034318
ENSSMRT00000011695 ENSSMRG00000007978
ENSSMRT00000011702 ENSSMRG00000007980
ENSBTAT00000077396 ENSBTAG00000052337
ENSBTAT00000087077 ENSBTAG00000052337
ENSBTAT00000069821 ENSBTAG00000052337
