ENSKMAT00000013401 ENSKMAG00000009912
ENSKMAT00000023454 ENSKMAG00000017179
ENSKMAT00000020341 ENSKMAG00000014919
ENSKMAT00000008753 ENSKMAG00000006475
ENSKMAT00000002736 ENSKMAG00000002060
ENSXMAT00000020289 ENSXMAG00000020214
ENSXMAT00000034388 ENSXMAG00000023501
ENSXCOT00000005065 ENSXCOG00000003927
ENSXMAT00000028318 ENSXMAG00000025961
ENSXCOT00000024161 ENSXCOG00000017839
ENSXMAT00000027146 ENSXMAG00000025109
ENSXCOT00000009465 ENSXCOG00000007126
ENSXMAT00000022460 ENSXMAG00000027400
ENSXMAT00000039513 ENSXMAG00000025405
ENSXMAT00000038630 ENSXMAG00000025587
ENSXCOT00000011177 ENSXCOG00000008348
ENSXCOT00000000542 ENSXCOG00000000468
ENSXCOT00000012013 ENSXCOG00000008987
ENSXCOT00000020062 ENSXCOG00000014871
ENSXCOT00000003078 ENSXCOG00000002409
ENSXCOT00000014030 ENSXCOG00000010492
ENSXCOT00000003138 ENSXCOG00000002458
ENSXCOT00000014184 ENSXCOG00000010606
ENSXCOT00000012138 ENSXCOG00000009085
ENSXCOT00000008715 ENSXCOG00000006588
ENSPFOT00000028644 ENSPFOG00000023651
ENSPFOT00000031102 ENSPFOG00000024772
ENSPFOT00000031833 ENSPFOG00000022637
ENSPFOT00000027434 ENSPFOG00000024777
ENSPFOT00000024054 ENSPFOG00000022198
ENSPLAT00000031944 ENSPLAG00000000760
ENSPLAT00000012482 ENSPLAG00000004112
ENSPLAT00000020678 ENSPLAG00000016270
ENSPFOT00000031380 ENSPFOG00000023694
ENSPMET00000024759 ENSPMEG00000018868
ENSPFOT00000025221 ENSPFOG00000023504
ENSPFOT00000030739 ENSPFOG00000022372
ENSPLAT00000014559 ENSPLAG00000002623
ENSPFOT00000028673 ENSPFOG00000024395
ENSPMET00000010551 ENSPMEG00000004786
ENSPFOT00000028761 ENSPFOG00000023490
