ENSSMAT00000009750 ENSSMAG00000005929
ENSHCOT00000015622 ENSHCOG00000011915
ENSATET00000029458 ENSATEG00000020017
ENSATET00000029481 ENSATEG00000020017
ENSGWIT00000058631 ENSGWIG00000026010
ENSAPET00000026663 ENSAPEG00000018479
ENSAOCT00000027202 ENSAOCG00000001658
ENSAPOT00000021031 ENSAPOG00000015738
ENSSPAT00000026429 ENSSPAG00000019628
ENSSPAT00000026436 ENSSPAG00000019628
ENSPRNT00000051786 ENSPRNG00000023405
ENSTRUT00000054623 ENSTRUG00000020555
ENSGACT00000004395 ENSGACG00000003349
ENSXMAT00000029359 ENSXMAG00000016527
ENSXMAT00000024032 ENSXMAG00000016527
ENSXMAT00000016580 ENSXMAG00000016527
ENSPRET00000007375 ENSPREG00000005014
ENSPMET00000004251 ENSPMEG00000008985
ENSPMET00000004276 ENSPMEG00000008985
ENSPLAT00000006360 ENSPLAG00000008487
ENSPFOT00000007834 ENSPFOG00000007912
ENSGAFT00000005941 ENSGAFG00000003988
ENSGAFT00000005960 ENSGAFG00000003988
ENSFHET00000003735 ENSFHEG00000008603
ENSCVAT00000028940 ENSCVAG00000023109
ENSKMAT00000014034 ENSKMAG00000010374
