>ENSVPAT00000004935	ENSVPAG00000004935
>ENSETET00000017072	ENSETEG00000017072
>ENSSMRT00000012386	ENSSMRG00000008419
>ENSCJPT00005008263	ENSCJPG00005004870
>ENSLACT00000006292	ENSLACG00000005535
>ENSLACT00000006293	ENSLACG00000005535
>ENSCMIT00000022426	ENSCMIG00000009869
>ENSCMIT00000022502	ENSCMIG00000009869
>ENSCMIT00000022507	ENSCMIG00000009869
>ENSCMIT00000022512	ENSCMIG00000009869
>ENSCMIT00000022515	ENSCMIG00000009869
>ENSLOCT00000020266	ENSLOCG00000016380
>ENSECRT00000016489	ENSECRG00000010797
>ENSECRT00000016493	ENSECRG00000010797
>ENSECRT00000016507	ENSECRG00000010797
>ENSGAGT00000029945	ENSGAGG00000019111
>ENSGAGT00000029947	ENSGAGG00000019111
>ENSGAGT00000029949	ENSGAGG00000019111
>ENSGAGT00000029957	ENSGAGG00000019111
>ENSGAGT00000030021	ENSGAGG00000019111
>ENSGAGT00000030024	ENSGAGG00000019111
>ENSGAGT00000030042	ENSGAGG00000019111
