FBtr0074611 FBgn0030947
FBtr0084634 FBgn0039180
FBtr0080754 FBgn0028945
ENSCSAVT00000008718 ENSCSAVG00000005122
ENSCINT00000033919 ENSCING00000018041
ENSCSAVT00000005504 ENSCSAVG00000003250
ENSCINT00000020884 ENSCING00000010527
ENSEBUT00000020780 ENSEBUG00000012541
ENSCINT00000013518 ENSCING00000006585
ENSCINT00000013521 ENSCING00000006585
ENSCSAVT00000015009 ENSCSAVG00000008681
ENSCSAVT00000015010 ENSCSAVG00000008681
ENSCSAVT00000015011 ENSCSAVG00000008681
ENSCSAVT00000003907 ENSCSAVG00000002275
ENSCSAVT00000003908 ENSCSAVG00000002275
