ENSPTRT00000026426 ENSPTRG00000014143
ENSPPAT00000065072 ENSPPAG00000043657
ENSPTRT00000056900 ENSPTRG00000029441
ENSPTRT00000089385 ENSPTRG00000029441
ENSPPAT00000032366 ENSPPAG00000028090
ENSPPAT00000032368 ENSPPAG00000028090
ENSGGOT00000011440 ENSGGOG00000011399
ENSPPYT00000013643 ENSPPYG00000011751
ENSMFAT00000032603 ENSMFAG00000043822
ENSMNET00000048744 ENSMNEG00000035780
ENSMLET00000038246 ENSMLEG00000031564
ENSMLET00000038251 ENSMLEG00000031564
ENSCATT00000065188 ENSCATG00000043014
ENSPANT00000008413 ENSPANG00000003893
ENSRBIT00000040489 ENSRBIG00000032345
