ENSAPET00000010554 ENSAPEG00000007388
ENSAOCT00000004228 ENSAOCG00000010300
ENSAOCT00000004248 ENSAOCG00000010300
ENSCVAT00000010965 ENSCVAG00000004052
ENSCVAT00000010980 ENSCVAG00000004052
ENSCVAT00000010993 ENSCVAG00000004052
ENSACLT00000042148 ENSACLG00000027726
ENSACLT00000042149 ENSACLG00000027726
ENSATET00000035907 ENSATEG00000024328
ENSATET00000035909 ENSATEG00000024328
ENSBSLT00000032383 ENSBSLG00000014578
ENSBSLT00000032389 ENSBSLG00000014578
ENSELUT00000034959 ENSELUG00000022545
ENSELUT00000034963 ENSELUG00000022545
ENSELUT00000035097 ENSELUG00000022545
ENSGMOT00000016641 ENSGMOG00000015154
ENSGAGT00000028561 ENSGAGG00000018349
