ENSLACT00000001837 ENSLACG00000001628
ENSVURT00010025852 ENSVURG00010017372
ENSVURT00010025864 ENSVURG00010017372
ENSVURT00010025874 ENSVURG00010017372
ENSVURT00010025896 ENSVURG00010017372
ENSVURT00010025921 ENSVURG00010017372
ENSPCIT00000040705 ENSPCIG00000024542
ENSPCIT00000040723 ENSPCIG00000024542
ENSPCIT00000040735 ENSPCIG00000024542
ENSPCIT00000040737 ENSPCIG00000024542
ENSPCIT00000059247 ENSPCIG00000024542
ENSPCIT00000040712 ENSPCIG00000024542
ENSPCIT00000040715 ENSPCIG00000024542
ENSPCIT00000040719 ENSPCIG00000024542
ENSPCIT00000040740 ENSPCIG00000024542
ENSPCIT00000040730 ENSPCIG00000024542
ENSMEUT00000007603 ENSMEUG00000007559
ENSSHAT00000020748 ENSSHAG00000017456
ENSSHAT00000020749 ENSSHAG00000017456
ENSMODT00000084734 ENSMODG00000011829
ENSMODT00000075023 ENSMODG00000011829
ENSMODT00000065407 ENSMODG00000011829
ENSMODT00000015097 ENSMODG00000011829
ENSMODT00000074694 ENSMODG00000011829
ENSUMAT00000033373 ENSUMAG00000020489
ENSUMAT00000033380 ENSUMAG00000020489
ENSUMAT00000033402 ENSUMAG00000020489
ENSAMET00000015666 ENSAMEG00000014214
ENSNVIT00000017129 ENSNVIG00000011263
ENSNVIT00000017139 ENSNVIG00000011263
ENSNVIT00000017155 ENSNVIG00000011263
