ENSPMAT00000006561 ENSPMAG00000005866
ENSEBUT00000021594 ENSEBUG00000012989
ENSDCDT00000063585 ENSDCDG00000031392
ENSDCDT00000063599 ENSDCDG00000031392
ENSDCDT00000063608 ENSDCDG00000031392
ENSDCDT00000063609 ENSDCDG00000031392
ENSDCDT00000063611 ENSDCDG00000031392
ENSDCDT00000063615 ENSDCDG00000031392
ENSDCDT00000063616 ENSDCDG00000031392
ENSCHAT00000056176 ENSCHAG00000023781
ENSCHAT00000056193 ENSCHAG00000023781
ENSCHAT00000056205 ENSCHAG00000023781
ENSCHAT00000056223 ENSCHAG00000023781
ENSCHAT00000056243 ENSCHAG00000023781
ENSCHAT00000056255 ENSCHAG00000023781
ENSCHAT00000056262 ENSCHAG00000023781
ENSCHAT00000056274 ENSCHAG00000023781
ENSCHAT00000056283 ENSCHAG00000023781
ENSCHAT00000056295 ENSCHAG00000023781
ENSAMXT00000008899 ENSAMXG00000008660
